ProbeID,kME
isogroupDN43249_c0_g1,0
isogroupDN43257_c0_g1,0
isogroupDN43287_c0_g1,0
isogroupDN43303_c0_g1,0
isogroupDN43319_c0_g1,0
isogroupDN43379_c0_g1,0
isogroupDN43383_c0_g1,0
isogroupDN43423_c0_g1,0
isogroupDN43486_c0_g1,0
isogroupDN43488_c1_g1,0
isogroupDN43497_c0_g1,0
isogroupDN43509_c0_g1,0
isogroupDN43513_c0_g1,0
isogroupDN43568_c0_g1,1
isogroupDN43592_c0_g1,0
isogroupDN43623_c0_g1,0
isogroupDN43627_c0_g1,0
isogroupDN43635_c0_g1,0
isogroupDN43705_c0_g1,0
isogroupDN43753_c0_g1,0
isogroupDN43912_c0_g1,0
isogroupDN44117_c0_g1,0
isogroupDN4411_c0_g1,0
isogroupDN44121_c0_g1,0
isogroupDN44213_c0_g1,1
isogroupDN44270_c0_g1,0
isogroupDN44292_c0_g1,0
isogroupDN44391_c0_g1,0
isogroupDN44655_c0_g1,0
isogroupDN44707_c0_g1,1
isogroupDN44970_c0_g1,1
isogroupDN4498_c0_g1,0
isogroupDN45042_c1_g1,1
isogroupDN45097_c0_g1,0
isogroupDN45097_c0_g2,0
isogroupDN451_c0_g1,0
isogroupDN451_c0_g2,0
isogroupDN45209_c0_g1,0
isogroupDN45209_c1_g3,0
isogroupDN45266_c0_g1,0
isogroupDN45266_c0_g2,0
isogroupDN45266_c0_g3,0
isogroupDN45309_c0_g1,0
isogroupDN45309_c0_g2,0
isogroupDN45425_c0_g1,1
isogroupDN4562_c0_g1,1
isogroupDN45744_c1_g1,0
isogroupDN4590_c0_g1,0
isogroupDN45962_c0_g1,0
isogroupDN46219_c0_g1,0
isogroupDN46372_c0_g1,0
isogroupDN46385_c0_g1,0
isogroupDN46385_c0_g2,0
isogroupDN46497_c0_g1,0
isogroupDN4654_c0_g1,0
isogroupDN46623_c0_g1,0
isogroupDN46716_c0_g1,0
isogroupDN4672_c0_g1,0
isogroupDN46737_c1_g1,0
isogroupDN46793_c0_g1,0
isogroupDN4681_c0_g1,0
isogroupDN46925_c0_g2,1
isogroupDN46944_c0_g1,0
isogroupDN46989_c0_g1,0
isogroupDN47064_c0_g1,0
isogroupDN47114_c0_g1,0
isogroupDN47152_c0_g1,1
isogroupDN4739_c0_g1,0
isogroupDN47414_c2_g1,0
isogroupDN47441_c0_g1,0
isogroupDN47590_c0_g1,0
isogroupDN47682_c0_g1,0
isogroupDN47815_c0_g1,0
isogroupDN47938_c0_g1,0
isogroupDN47968_c0_g1,0
isogroupDN48036_c0_g1,0
isogroupDN48205_c1_g1,0
isogroupDN48293_c0_g1,0
isogroupDN48293_c0_g2,0
isogroupDN48293_c0_g3,0
isogroupDN48293_c0_g4,0
isogroupDN48300_c0_g2,0
isogroupDN48320_c0_g1,0
isogroupDN48347_c1_g1,0
isogroupDN48356_c0_g1,0
isogroupDN48405_c0_g1,0
isogroupDN48494_c0_g1,0
isogroupDN48537_c0_g1,0
isogroupDN48742_c1_g1,0
isogroupDN48873_c0_g1,0
isogroupDN48964_c0_g1,0
isogroupDN48964_c0_g2,0
isogroupDN48964_c0_g3,0
isogroupDN48966_c0_g1,0
isogroupDN48968_c0_g1,0
isogroupDN48980_c0_g1,0
isogroupDN48980_c0_g2,1
isogroupDN49027_c0_g1,1
isogroupDN49099_c0_g1,0
isogroupDN49176_c0_g1,0
isogroupDN49227_c0_g1,0
isogroupDN49253_c0_g1,0
isogroupDN49257_c0_g1,0
isogroupDN49311_c0_g1,0
isogroupDN49316_c0_g1,0
isogroupDN49316_c0_g2,0
isogroupDN49344_c0_g1,0
isogroupDN49402_c0_g1,1
isogroupDN49406_c1_g1,0
isogroupDN49406_c1_g2,0
isogroupDN49424_c0_g1,0
isogroupDN49525_c0_g3,0
isogroupDN49536_c0_g1,0
isogroupDN49548_c0_g1,0
isogroupDN49574_c0_g1,0
isogroupDN49574_c0_g2,0
isogroupDN49611_c0_g1,0
isogroupDN49629_c0_g1,0
isogroupDN49644_c0_g1,0
isogroupDN49688_c0_g1,0
isogroupDN49692_c0_g1,0
isogroupDN49728_c0_g1,0
isogroupDN49751_c0_g1,1
isogroupDN49756_c0_g1,0
isogroupDN49756_c0_g3,0
isogroupDN49782_c0_g1,0
isogroupDN49801_c0_g1,0
isogroupDN49810_c0_g1,0
isogroupDN49810_c0_g2,0
