SRR,bam_name,sample,genotype,replicate
SRR10600042,bt2_SRR10600042.new.sam.bam,G31r23,31,23
SRR10600043,bt2_SRR10600043.new.sam.bam,G31r22,31,22
SRR10600044,bt2_SRR10600044.new.sam.bam,G31r21,31,21
SRR10600045,bt2_SRR10600045.new.sam.bam,G31r20,31,20
SRR10600046,bt2_SRR10600046.new.sam.bam,G13r17,13,17
SRR10600047,bt2_SRR10600047.new.sam.bam,G31r1,31,1
SRR10600048,bt2_SRR10600048.new.sam.bam,G31r19,31,19
SRR10600049,bt2_SRR10600049.new.sam.bam,G31r18,31,18
SRR10600050,bt2_SRR10600050.new.sam.bam,G31r17,31,17
SRR10600051,bt2_SRR10600051.new.sam.bam,G31r16,31,16
SRR10600052,bt2_SRR10600052.new.sam.bam,G31r15,31,15
SRR10600053,bt2_SRR10600053.new.sam.bam,G31r14b,31,14b
SRR10600054,bt2_SRR10600054.new.sam.bam,G31r14a,31,14a
SRR10600055,bt2_SRR10600055.new.sam.bam,G31r13,31,13
SRR10600056,bt2_SRR10600056.new.sam.bam,G31r12,31,12
